"","X.1","X","club","points2009","joues2009","gagnes2009","nuls2009","perdus2009","marques2009","encaisses2009","Affluence2009","points2010","joues2010","gagnes2010","nuls2010","perdus2010","marques2010","encaisses2010","Affluence2010","points2011","joues2011","gagnes2011","nuls2011","perdus2011","marques2011","encaisses2011","Affluence2011","points2012","joues2012","gagnes2012","nuls2012","perdus2012","marques2012","encaisses2012","Affluence2012","points2013","gagnes2013","joues2013","nuls2013","perdus2013","marques2013","encaisses2013","Affluence2013"
"1",1,1,"PSG",47,38,12,11,15,50,46,35114,60,38,15,15,8,56,41,29302,79,38,23,10,5,75,41,43005,83,38,25,8,5,69,23,43235,89,27,38,8,3,84,23,45420
"2",2,2,"AS Monaco FC",55,38,15,10,13,39,45,7893,44,38,9,17,12,36,40,6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,23,38,11,4,63,31,8906
"3",3,3,"Lille OSC",70,38,21,7,10,72,40,14940,76,38,21,13,4,68,36,16411,74,38,21,11,6,72,39,16923,62,38,16,14,8,59,40,40773,71,20,38,11,7,46,26,38662
"4",4,4,"AS Saint-Etienne",40,38,10,10,18,27,45,26331,49,38,12,13,13,46,47,25096,57,38,16,9,13,49,44,21287,63,38,16,15,7,60,32,22971,69,20,38,9,9,56,34,30595
"5",5,5,"OL ",72,38,20,12,6,64,38,35766,64,38,17,13,8,61,40,35482,64,38,19,7,12,64,51,33346,67,38,19,10,9,61,38,32044,61,17,38,10,11,56,44,34414
"6",6,6,"OM",78,38,23,9,6,69,36,50044,68,38,18,14,6,62,39,51086,48,38,12,12,14,45,41,40444,71,38,21,8,9,42,36,33589,60,16,38,12,10,53,40,38129
"7",7,7,"Bordeaux",64,38,19,7,12,58,40,29267,51,38,12,15,11,43,42,24281,61,38,16,13,9,53,41,20713,55,38,13,16,9,40,34,19410,53,13,38,14,11,49,43,18833
"8",8,8,"FC Nantes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,13,38,10,15,40,43,28169
"9",9,9,"FC Lorient",58,38,16,10,12,54,42,12208,49,38,12,13,13,46,48,15633,39,38,9,12,17,34,49,15539,53,38,14,11,13,57,58,15245,49,13,38,10,15,48,53,15160
"10",10,10,"Toulouse FC",47,38,12,11,15,36,36,19228,50,38,14,8,16,38,36,19880,56,38,15,11,12,37,34,21236,51,38,13,12,13,49,47,17752,49,12,38,13,13,46,53,14993
"11",11,11,"Reims",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38,10,13,15,33,42,15576,48,12,38,12,14,44,52,15558
"12",12,12,"Bastia",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,47,38,13,8,17,50,66,14051,46,12,38,13,14,47,45,19523
"13",13,13,"OGC Nice",44,38,11,11,16,41,57,9198,46,38,11,13,14,0,48,8454,42,38,10,12,16,39,46,9245,64,38,18,10,10,57,46,10166,42,12,38,10,16,42,58,13647
"14",14,14,"Stade Rennais FC",53,38,14,11,13,52,41,22660,56,38,15,11,12,38,35,23397,60,38,17,9,12,53,44,20665,46,38,13,7,18,48,59,18472,46,11,38,11,16,39,51,10919
"15",15,15,"Evian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,38,13,11,14,54,55,11700,40,38,10,10,18,46,53,10213,44,11,38,18,12,45,53,14679
"16",16,16,"EA Guingamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,38,9,18,34,42,15001
"17",17,17,"FC Sochaux",41,38,11,8,19,28,52,13307,58,38,17,7,14,60,43,12646,42,38,11,9,18,40,60,14023,41,38,10,11,17,41,57,13458,40,10,38,6,20,30,44,24186
"18",18,18,"Montpellier HSC",69,38,20,9,9,50,40,18980,47,38,12,11,15,32,43,16482,82,38,25,7,6,68,34,17699,52,38,15,7,16,54,51,17072,42,8,38,10,18,37,61,14388
"19",19,19,"Valenciennes FC",52,38,14,10,14,50,50,12122,48,38,10,18,10,45,41,11663,43,38,12,7,19,40,50,15373,48,38,12,12,14,49,53,15465,29,7,38,8,23,37,65,14364
"20",20,20,"AC Ajaccio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,9,14,15,40,61,6474,42,38,9,15,14,39,51,6757,23,4,38,11,23,37,72,6297
"21",21,21,"AS Nancy-Lorraine",48,38,13,9,16,46,53,16312,48,38,13,9,16,43,48,16188,45,38,11,12,15,38,48,15331,38,38,9,11,18,38,58,15602,0,0,0,0,0,0,0,0
"22",22,22,"Le Mans UC 72",32,38,8,8,22,36,59,9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
